Beta-07
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2021/3/22,  11:23:18,  4.030000,    0,       0.000000,       0.000000,        48,        16,         6,         3,         0,         0,         0,         0,         0,         0,         0,         0, 22.820000,28.149414,101675.671875,-29.155191
 2021/3/22,  11:23:28,  4.030000,    0,       0.000000,       0.000000,        30,        10,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.840000,27.994141,101675.460938,-29.138144
 2021/3/22,  11:23:38,  4.031250,    0,       0.000000,       0.000000,        90,        26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.850000,27.983398,101672.476562,-28.890440
 2021/3/22,  11:23:48,  4.032500,    0,       0.000000,       0.000000,       150,        46,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.870001,27.852539,101679.640625,-29.484119
 2021/3/22,  11:23:58,  4.033750,    0,       0.000000,       0.000000,       150,        46,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.889999,27.853516,101673.453125,-28.970669
 2021/3/22,   11:24:8,  4.035000,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.900000,27.758789,101673.671875,-28.988720
 2021/3/22,  11:24:18,  4.036250,    0,       0.000000,       0.000000,        27,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.920000,27.699219,101677.640625,-29.318653
 2021/3/22,  11:24:28,  4.035000,    0,       0.000000,       0.000000,        48,        13,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.940001,27.592773,101676.468750,-29.221380
 2021/3/22,  11:24:38,  4.035000,    0,       0.000000,       0.000000,       198,        66,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.950001,27.522461,101672.085938,-28.857344
 2021/3/22,  11:24:48,  4.033750,    0,       0.000000,       0.000000,       186,        62,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1, 22.969999,27.499023,101673.273438,-28.955626
 2021/3/22,  11:24:58,  4.035000,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.980000,27.500000,101670.796875,-28.750036
 2021/3/22,   11:25:8,  4.035000,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 23.000000,27.416992,101675.187500,-29.115078
 2021/3/22,  11:25:18,  4.035000,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 23.010000,27.393555,101669.414062,-28.635708
 2021/3/22,  11:25:28,  4.033750,    0,       0.000000,       0.000000,         9,         3,         3,         3,         3,         0,         0,         0,         0,         0,         0,         0, 23.020000,27.333984,101669.328125,-28.628689
 2021/3/22,  11:25:38,  4.030000,    0,       0.000000,       0.000000,        42,        14,         3,         3,         3,         0,         0,         0,         0,         0,         0,         0, 23.030001,27.323242,101669.085938,-28.608629
 2021/3/22,  11:25:48,  4.031250,    0,       0.000000,       0.000000,         9,         3,         3,         3,         0,         0,         0,         0,         0,         0,         0,         0, 23.049999,27.324219,101670.687500,-28.741011
 2021/3/22,  11:25:58,  4.032500,    0,       0.000000,       0.000000,        18,         6,         3,         3,         0,         0,         0,         0,         0,         0,         0,         0, 23.070000,27.313477,101671.906250,-28.842302
 2021/3/22,   11:26:8,  4.033750,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 23.080000,27.326172,101671.703125,-28.825253
 2021/3/22,  11:26:18,  4.033750,    0,       0.000000,       0.000000,        27,         9,         3,         3,         0,         0,         0,         0,         0,         0,         0,         0, 23.100000,27.303711,101677.937500,-29.342722
 2021/3/22,  11:26:28,  4.033750,    0,       0.000000,       0.000000,        18,         6,         3,         3,         0,         0,         0,         0,         0,         0,         0,         0, 23.110001,27.268555,101671.289062,-28.791155
 2021/3/22,  11:26:38,  4.033750,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 23.129999,27.268555,101679.851562,-29.502169
 2021/3/22,  11:26:48,  4.033750,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 23.150000,27.209961,101672.140625,-28.862358
